year,loss_percentage,activity,food_supply_stage,cause_of_loss
2006,4.40333,"Drying, Harvesting",Harvest,
2006,3.13714,"Shelling, Threshing",,
2006,4.55,"Drying, Harvesting",Harvest,
2006,2.16667,Transportation,Farm,
2006,3.6,"Shelling, Threshing",,
2006,2.69444,Storage,Farm,
2006,2.5,Winnowing,Farm,
2006,1.175,Storage,Farm,
2006,2,"Shelling, Threshing",,
2006,2.5,Transportation,Farm,
2006,3.5,"Drying, Harvesting",Harvest,
2007,4.86667,Storage,Farm,
2007,4.43333,"Drying, Harvesting",Harvest,
2007,2.5,Transportation,Farm,
2007,3.5,"Shelling, Threshing",,
2007,4,Drying,Farm,
2007,6.42,"Drying, Harvesting",Harvest,
2007,2.35714,Transportation,Farm,
2007,5.26375,Storage,Farm,
2007,1.32,"Shelling, Threshing",,
2007,3.13714,"Shelling, Threshing",,
2007,4.40333,"Drying, Harvesting",Harvest,
2007,1.25,Transportation,Farm,
2007,1.2,Storage,Farm,
2007,2.5,Winnowing,Farm,
2007,3.6,"Shelling, Threshing",,
2007,2.69444,Storage,Farm,
2007,2.16667,Transportation,Farm,
2007,4.55,"Drying, Harvesting",Harvest,
2007,3.5,"Drying, Harvesting",Harvest,
2007,2,"Shelling, Threshing",,
2007,2.5,Winnowing,Farm,
2007,2.5,Transportation,Farm,
2007,1.175,Storage,Farm,
2008,4.86667,Storage,Farm,
2008,2.5,Transportation,Farm,
2008,3.5,"Shelling, Threshing",,
2008,4.43333,"Drying, Harvesting",Harvest,
2008,5.26375,Storage,Farm,
2008,1.32,"Shelling, Threshing",,
2008,6.42,"Drying, Harvesting",Harvest,
2008,2.35714,Transportation,Farm,
2008,4,Drying,Farm,
2008,1.25,Transportation,Farm,
2008,4.40333,"Drying, Harvesting",Harvest,
2008,3.13714,"Shelling, Threshing",,
2008,2.5,Winnowing,Farm,
2008,1.2,Storage,Farm,
2008,3.6,"Shelling, Threshing",,
2008,2.69444,Storage,Farm,
2008,4.55,"Drying, Harvesting",Harvest,
2008,2.16667,Transportation,Farm,
2008,2.5,Transportation,Farm,
2008,3.5,"Drying, Harvesting",Harvest,
2008,1.175,Storage,Farm,
2008,2,"Shelling, Threshing",,
2008,2.5,Winnowing,Farm,
2009,3.5,"Shelling, Threshing",,
2009,4.43333,"Drying, Harvesting",Harvest,
2009,2.5,Transportation,Farm,
2009,4.86667,Storage,Farm,
2009,4,Drying,Farm,
2009,1.32,"Shelling, Threshing",,
2009,5.26375,Storage,Farm,
2009,6.42,"Drying, Harvesting",Harvest,
2009,2.35714,Transportation,Farm,
2009,1.25,Transportation,Farm,
2009,1.2,Storage,Farm,
2009,3.13714,"Shelling, Threshing",,
2009,2.5,Winnowing,Farm,
2009,4.40333,"Drying, Harvesting",Harvest,
2009,3.6,"Shelling, Threshing",,
2009,2.69444,Storage,Farm,
2009,2.16667,Transportation,Farm,
2009,4.55,"Drying, Harvesting",Harvest,
2009,2.5,Winnowing,Farm,
2009,2,"Shelling, Threshing",,
2009,1.175,Storage,Farm,
2009,2.5,Transportation,Farm,
2009,3.5,"Drying, Harvesting",Harvest,
2010,2.5,Transportation,Farm,
2010,4.86667,Storage,Farm,
2010,3.5,"Shelling, Threshing",,
2010,4.43333,"Drying, Harvesting",Harvest,
2010,5.26375,Storage,Farm,
2010,2.35714,Transportation,Farm,
2010,1.32,"Shelling, Threshing",,
2010,6.42,"Drying, Harvesting",Harvest,
2010,4,Drying,Farm,
2010,2.5,Winnowing,Farm,
2010,4.40333,"Drying, Harvesting",Harvest,
2010,3.13714,"Shelling, Threshing",,
2010,1.2,Storage,Farm,
2010,1.25,Transportation,Farm,
2010,3.6,"Shelling, Threshing",,
2010,4.55,"Drying, Harvesting",Harvest,
2010,2.16667,Transportation,Farm,
2010,2.69444,Storage,Farm,
2010,3.5,"Drying, Harvesting",Harvest,
2010,2.5,Transportation,Farm,
2010,2.5,Winnowing,Farm,
2010,1.175,Storage,Farm,
2010,2,"Shelling, Threshing",,
2011,3.5,"Shelling, Threshing",,
2011,4.86667,Storage,Farm,
2011,4.43333,"Drying, Harvesting",Harvest,
2011,2.5,Transportation,Farm,
2011,5.26375,Storage,Farm,
2011,2.35714,Transportation,Farm,
2011,6.42,"Drying, Harvesting",Harvest,
2011,1.32,"Shelling, Threshing",,
2011,4,Drying,Farm,
2011,1.2,Storage,Farm,
2011,3.13714,"Shelling, Threshing",,
2011,1.25,Transportation,Farm,
